
2023/02/19 (23:49:28) | ===> btop++ v.1.2.13
2023/02/19 (23:49:28) | INFO: Logger set to INFO
2023/02/19 (23:49:33) | INFO: Logger set to INFO

2023/02/27 (10:45:45) | ===> btop++ v.1.2.13
2023/02/27 (10:45:45) | ERROR: Stall in Runner thread, restarting!

2023/02/27 (10:55:10) | ===> btop++ v.1.2.13
2023/02/27 (10:55:10) | ERROR: Stall in Runner thread, restarting!

2023/05/14 (16:29:02) | ===> btop++ v.1.2.13
2023/05/14 (16:29:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/05/16 (01:00:52) | ===> btop++ v.1.2.13
2023/05/16 (01:00:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/05/16 (13:27:50) | ===> btop++ v.1.2.13
2023/05/16 (13:27:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/04 (15:54:13) | ===> btop++ v.1.2.13
2023/06/04 (15:54:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/04 (18:55:32) | ===> btop++ v.1.2.13
2023/06/04 (18:55:32) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/07 (10:52:42) | ===> btop++ v.1.2.13
2023/06/07 (10:52:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/11 (02:02:07) | ===> btop++ v.1.2.13
2023/06/11 (02:02:07) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/22 (15:56:08) | ===> btop++ v.1.2.13
2023/06/22 (15:56:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
